id,country,name,lon,lat,offshore,height,capacity,power_curve,PR
CH1,CH,Feldmoos,8.06,46.99,no,60,0.9,NEG.Micon.NM52.900,0.983
CH2,CH,Gatsch,8.594,46.647,no,45,0.6,Enercon.E40.600,0.983
CH3,CH,Collonges,7.03,46.17,no,100,2,Enercon.E70.2000,0.983
CH4,CH,Gatsch,8.594,46.647,no,55,0.9,Enercon.E44.900,0.983
CH5,CH,Oberer Grenchenberg,7.4,47.23,no,30,0.15,Bonus.B23.150,0.983
CH6,CH,Martigny,7.03,46.17,no,100,2,Enercon.E82.2000,0.983
CH7,CH,Saint-Brais,7.113,47.305,no,80,4,Enercon.E82.2000,0.983
CH8,CH,Calandawind,9.526,46.879,no,120,3,Vestas.V112.3000,0.983
CH9,CH,Feldmoos,8.06,46.99,no,50,0.95,NEG.Micon.NM52.900,0.983
CH10,CH,Mount Crosin,7.017,47.18,no,95,16,Vestas.V90.2000,0.983
CH11,CH,Peuchapatte,6.978,47.246,no,110,6.9,Enercon.E82.2300,0.983
CH12,CH,Gatsch,8.594,46.647,no,55,1.8,Enercon.E44.900,0.983
CH13,CH,Gries,8.374,46.463,no,85,2.3,Enercon.E70.2300,0.983
CH14,CH,Lutersarni,8.108,46.992,no,80,2.3,Enercon.E82.2300,0.983
CH15,CH,Charrat,7.145,46.131,no,100,3,Enercon.E101.3000,0.983
CH16,CH,Mount Crosin,7.013,47.177,no,95,8,Vestas.V90.2000,0.983
CH17,CH,Mount Crosin,7.06,47.198,no,100,6.6,Vestas.V112.3000,0.983
CH18,CH,Mount Crosin,6.983,47.161,no,110,6.6,Vestas.V112.3000,0.983
CH19,CH,Gries,8.374,46.463,no,115,7.05,Enercon.E92.2300,0.983
CH20,CH,Extra 1,7.954166667,47.20416667,no,100,0.419,Enercon.E101.3000,0.983
CH21,CH,Extra 2,10.3375,46.72916667,no,80,0.419,Enercon.E66.2000,0.983
CH22,CH,Extra 3,10.2625,46.90416667,no,105,0.419,Enercon.E101.3000,0.983
CH23,CH,Extra 4,9.354166667,47.0375,no,60,0.419,Enercon.E82.2000,0.983
CH24,CH,Extra 5,8.770833333,46.90416667,no,70,0.419,REPower.MD77.1500,0.983
CH25,CH,Extra 6,8.9125,47.44583333,no,30,0.419,Vestas.V112.3000,0.983
CH26,CH,Extra 7,9.1875,46.37083333,no,55,0.419,Enercon.E101.3000,0.983
CH27,CH,Extra 8,9.279166667,47.57083333,no,80,0.419,Enercon.E82.2000,0.983
CH28,CH,Extra 9,6.120833333,46.30416667,no,60,0.419,Vestas.V112.3000,0.983
CH29,CH,Extra 10,9.520833333,46.67916667,no,30,0.419,Enercon.E44.900,0.983
CH30,CH,Extra 11,8.354166667,47.5375,no,80,0.419,Nordtank.NTK500,0.983
CH31,CH,Extra 12,8.3625,46.8125,no,100,0.419,Enercon.E101.3000,0.983
CH32,CH,Extra 13,8.1875,46.87083333,no,100,0.419,Enercon.E82.2000,0.983
CH33,CH,Extra 14,8.345833333,46.72916667,no,100,0.419,Enercon.E82.2300,0.983
CH34,CH,Extra 15,8.304166667,46.7375,no,80,0.419,Gamesa.G47.660,0.983
CH35,CH,Extra 16,8.929166667,46.1625,no,120,0.419,Enercon.E70.2300,0.983
CH36,CH,Extra 17,9.720833333,46.57916667,no,55,0.419,Enercon.E70.2300,0.983
CH37,CH,Extra 18,8.754166667,47.29583333,no,75,0.419,Enercon.E40.600,0.983
CH38,CH,Extra 19,8.970833333,47.4625,no,85,0.419,Siemens.SWT.3.0.101,0.983
CH39,CH,Extra 20,7.345833333,46.1625,no,120,0.419,Enercon.E92.2300,0.983
